id;x;y
"2010 Volvo S80 T6 AWD";3859.798095703125;4158.751953125
"2010 Volvo S80 3.2";4048.920166015625;4250.982421875
"2011 Volvo V50 T5";4116.259765625;4395.1669921875
"2010 Volvo V50 R-Design";3926.110107421875;4221.7685546875
"2010 Volvo V50 2.4i";4003.002685546875;4438.419921875
"2011 Volvo XC60 T6 AWD";3941.463623046875;4136.5732421875
"2011 Volvo XC60 3.2";4006.99072265625;4250.466796875
"2010 Volvo XC60 T6 AWD";3856.492431640625;4156.4560546875
"2010 Volvo XC60 3.2";4050.07861328125;4254.25146484375
"2011 Volvo XC70 3.2";4002.645751953125;4248.06884765625
"2011 Volvo XC70 T6 AWD";3938.130126953125;4137.58837890625
"2010 Volvo XC70 T6 AWD";3949.95458984375;4136.57421875
"2010 Volvo XC70 3.2";3978.054443359375;4151.35107421875
"2011 Toyota 4Runner SR5";4332.66015625;4289.3095703125
"2011 Toyota 4Runner SR5 4WD";4393.15673828125;4346.455078125
"Four-wheel drive";4421.76904296875;4195.16650390625
"2011 Toyota 4Runner Trail";4393.841796875;4341.53369140625
"2011 Toyota 4Runner Limited";4331.81689453125;4283.5517578125
"2011 Toyota 4Runner  Limited 4WD";4386.47900390625;4350.52001953125
"2011 Volvo XC90 3.2";4008.30810546875;4254.3515625
"2011 Volvo XC90 V8";3966.5068359375;4129.3837890625
"2010 Volvo XC90 3.2";4045.24609375;4251.4267578125
"2010 Volvo XC90 V8";3965.390380859375;4124.3564453125
"2010 Volvo V70 3.2";4046.247802734375;4254.5087890625
"2010 Toyota 4Runner SR5";4332.82177734375;4172.6416015625
"2010 Toyota 4Runner SR5 V6";4336.52783203125;4287.1484375
"2010 Toyota 4Runner SR5 V6 4WD";4388.3759765625;4345.73828125
"2010 Toyota 4Runner Trail";4384.857421875;4347.005859375
"2010 Toyota 4Runner Limited";4333.03662109375;4286.68017578125
"2010 Toyota 4Runner Limited 4WD";4389.35009765625;4341.8671875
"2012 Audi A3 2.0 T";3899.966796875;4184.34765625
"2010 Honda Accord EX-L V-6 Coup";4184.69970703125;4425.40234375
"2010 Honda Accord EX Coup AT";4308.0654296875;4494.42822265625
"2010 Honda Accord EX-L Coup";4230.703125;4513.0673828125
"2010 Honda Accord EX-L Coup AT";4302.5234375;4490.21630859375
"2010 Honda Accord EX-L V-6 Coup AT";4294.41357421875;4472.3544921875
"2010 Honda Accord EX Coup";4225.30322265625;4517.3818359375
"2010 Honda Accord LX-S Coup AT";4308.5361328125;4485.81689453125
"2010 Honda Accord LX-S Coup";4228.3974609375;4519.82421875
"2011 Nissan 370Z Roadster";4290.36083984375;4094.496337890625
"2011 Nissan 370Z Roadster AT";4298.72021484375;3945.981201171875
"2011 Nissan 370Z Touring Roadster";4289.0419921875;4091.279296875
"2011 Nissan 370Z Touring Roadster AT";4293.93017578125;3938.3720703125
"2010 Nissan 370Z Touring Roadster";4283.99072265625;4091.0615234375
"2010 Nissan 370Z Roadster";4286.29443359375;4094.91796875
"2010 Nissan 370Z Roadster AT";4289.74169921875;3938.490966796875
"2010 Nissan 370Z Touring Roadster AT";4297.99267578125;3939.3154296875
"2011 Audi A3 2.0 T";3901.4619140625;4181.19970703125
"2011 Nissan 370Z Coupe";4289.67431640625;4083.948486328125
"2011 Nissan 370Z Touring Coupe";4293.05810546875;4090.386474609375
"2011 Nissan 370Z Touring Coupe AT";4290.970703125;3944.911376953125
"2010 Audi A3 2.0 T";3903.032470703125;4175.18896484375
"2010 Nissan 370Z Touring Coupe AT";4291.158203125;3947.56689453125
"2010 Nissan 370Z Coupe";4286.02783203125;4083.0732421875
"2010 Nissan 370Z Touring Coupe";4282.36474609375;4087.15185546875
"2010 Nissan 370Z Coupe AT";4295.1611328125;3947.343994140625
"2012 Audi A4 Sedan 2.0 T Quattro";3819.615234375;4029.052734375
"2012 Audi A4 Sedan 2.0 T Quattro AT";3770.223388671875;3981.42529296875
"2011 Audi A4 Sedan 2.0 T Quattro";3814.31787109375;4039.7509765625
"2011 Audi A4 Sedan 2.0 T Quattro AT";3770.4501953125;3974.640869140625
"2012 Ford Fiesta S Sedan";4217.90185546875;4365.69677734375
"2012 Ford Fiesta SE Sedan";4219.18896484375;4374.3095703125
"2012 Ford Fiesta SEL Sedan";4211.234375;4368.072265625
"2011 Ford Fiesta Sedan S";4221.51416015625;4366.76318359375
"2011 Ford Fiesta Sedan SE";4214.71142578125;4370.34716796875
"2011 Ford Fiesta Sedan SEL";4214.08203125;4365.4111328125
"2011 Volvo C30 R-Design AT";4113.1259765625;4398.4326171875
"2011 Volvo C30 R-Design";3999.320556640625;4312.6259765625
"2010 Volvo C30 R-Design AT";4116.689453125;4390.3271484375
"2010 Volvo C30 R-Design";3991.765380859375;4314.2001953125
"2010 Audi A4 Sedan 2.0 T Quattro AT";3795.6982421875;4051.546875
"2010 Audi A4 Sedan 2.0 T Quattro";3817.748779296875;4033.465576171875
"2010 Volvo S40 2.4i AT";4131.0087890625;4416.5283203125
"2010 Volvo S40 R-Design AT AWD";4053.785400390625;4284.2216796875
"2012 Audi A4 Avant 2.0 T";3774.912109375;3974.0166015625
"2011 Audi A4 Avant 2.0 T";3769.846923828125;3971.24365234375
"2010 Audi A4 Avant 2.0 T";3792.272216796875;4047.63525390625
"2011 Honda Accord EX Coup";4224.68994140625;4510.3037109375
"2011 Honda Accord LX-S Coup AT";4303.93798828125;4485.75341796875
"2011 Honda Accord EX-L V-6 Coup";4183.197265625;4421.5654296875
"2011 Honda Accord LX-S Coup";4220.0546875;4514.95947265625
"2011 Honda Accord EX-L V-6 Coup AT";4288.10986328125;4475.6513671875
"2011 Honda Accord EX Coup AT";4300.17529296875;4480.86328125
"2011 Honda Accord EX-L Coup";4297.27197265625;4479.62646484375
"2012 Ford Fiesta SE Hatchback";4214.6728515625;4375.1806640625
"2012 Ford Fiesta SES Hatchback";4218.2236328125;4370.44677734375
"2011 Ford Fiesta Hatchback SE";4211.150390625;4371.888671875
"2011 Ford Fiesta Hatchback SES";4222.27392578125;4371.0634765625
"2010 Honda Accord LX Sedan";4234.39306640625;4522.29345703125
"2010 Honda Accord LX Sedan AT";4315.14501953125;4501.10107421875
"2010 Honda Accord LX-P Sedan";4231.53173828125;4522.95361328125
"2010 Honda Accord LX-P Sedan AT";4313.98828125;4497.01416015625
"2010 Honda Accord EX Sedan";4227.9130859375;4512.7529296875
"2010 Honda Accord EX Sedan AT";4303.404296875;4480.15185546875
"2010 Honda Accord EX-L Sedan";4216.44921875;4512.31103515625
"2010 Honda Accord EX-L Sedan AT";4304.8935546875;4494.6142578125
"2010 Honda Accord EX V-6 Sedan";4328.66064453125;4477.552734375
"2011 Toyota Avalon";4059.557373046875;4341.24853515625
"2011 Toyota Avalon Limited";4062.6474609375;4342.3642578125
"2009 Nissan 370Z Coupe AT";4284.3330078125;3941.15234375
"2009 Nissan 370Z Touring Coupe AT";4294.9169921875;3942.72509765625
"2009 Nissan 370Z Touring Coupe";4281.1357421875;4083.403076171875
"2009 Nissan 370Z Coupe";4282.15576171875;4094.02685546875
"2010 Toyota Avalon XL";4068.15673828125;4347.58349609375
"2010 Toyota Avalon XLS";4070.348876953125;4351.7763671875
"2010 Toyota Avalon Limited";4060.4443359375;4352.69189453125
"2011 Toyota Camry";4098.30029296875;4325.95947265625
"2011 Toyota Camry AT";4069.765869140625;4325.5908203125
"2011 Toyota Camry LE";4095.4013671875;4323.4306640625
"2011 Toyota Camry LE AT";4066.395751953125;4330.1240234375
"2011 Toyota Camry LE V6";4060.75341796875;4347.373046875
"2011 Toyota Camry SE";4097.5244140625;4331.24609375
"2011 Toyota Camry SE AT";4061.96484375;4335.22998046875
"2011 Toyota Camry SE V6";4064.429443359375;4349.9609375
"2011 Toyota Camry XLE";4065.860595703125;4326.28564453125
"2011 Toyota Camry XLE V6";4066.438232421875;4352.5537109375
"2012 Ford Focus S Sedan";4207.48974609375;4351.36181640625
"2012 Ford Focus SE Sedan";4211.86181640625;4353.3876953125
"2011 Ford Focus Sedan S";4238.1298828125;4352.83837890625
"2011 Ford Focus Sedan S AT";4304.71484375;4268.74267578125
"2011 Ford Focus Sedan SE";4234.2919921875;4351.81201171875
"2011 Ford Focus Sedan SE AT";4297.87060546875;4265.89599609375
"2011 Ford Focus Sedan SES";4237.26611328125;4356.91943359375
"2011 Ford Focus Sedan SES AT";4300.181640625;4270.564453125
"2011 Ford Focus Sedan SEL";4298.97021484375;4261.775390625
"2010 Ford Focus Sedan S";4228.884765625;4350.810546875
"2010 Ford Focus Sedan S AT";4307.02490234375;4271.26220703125
"2010 Ford Focus Sedan SE";4234.00048828125;4358.24951171875
"2010 Ford Focus Sedan SE AT";4306.52880859375;4274.01611328125
"2010 Ford Focus Sedan SES";4231.076171875;4355.0712890625
"2010 Ford Focus Sedan SES AT";4307.3828125;4265.4423828125
"2010 Ford Focus Sedan SEL";4236.44970703125;4348.44287109375
"2010 Ford Focus Sedan SEL AT";4303.431640625;4273.5703125
"2011 Nissan Altima Coupe 2.5 S";4231.7119140625;4304.91259765625
"2011 Nissan Altima Coupe 3.5 SR";4233.5791015625;4297.31591796875
"2012 Volvo S80 T6 AWD";3846.3642578125;4165.18994140625
"2012 Volvo S80 3.2";3921.050537109375;4300.14306640625
"2012 Volvo XC60 T6 AWD R-Design";3838.2568359375;4170.435546875
"2012 Volvo XC60 3.2";3920.5615234375;4288.60693359375
"2012 Volvo XC60 T6 AWD";3847.763916015625;4169.1220703125
"2012 Volvo XC70 T6 AWD";3853.0458984375;4158.341796875
"2012 Volvo XC70 3.2";3925.41650390625;4296.9775390625
"2012 Volvo XC90 3.2";3915.329345703125;4279.697265625
"2012 Volvo XC90 3.2 R-Design";3916.3779296875;4298.318359375
"2010 Nissan Altima Coupe 2.5 S";4233.0908203125;4301.7724609375
"2010 Nissan Altima Coupe 3.5 SR";4229.58154296875;4298.69775390625
"2010 Toyota Camry";4100.0908203125;4322.51416015625
"2010 Toyota Camry  AT";4071.0009765625;4330.4267578125
"2010 Toyota Camry LE";4096.11474609375;4319.216796875
"2010 Toyota Camry LE AT";4066.403076171875;4329.9609375
"2010 Toyota Camry LE V6";4072.78125;4358.27783203125
"2010 Toyota Camry SE";4098.2138671875;4335.7001953125
"2010 Toyota Camry SE AT";4064.78515625;4337.2138671875
"2010 Toyota Camry SE V6";4065.4130859375;4344.69482421875
"2010 Toyota Camry XLE";4070.49072265625;4330.189453125
"2010 Toyota Camry XLE V6";4069.698974609375;4360.5048828125
"2010 Volvo XC90  R-Design";4045.7890625;4254.60205078125
"2011 Volvo XC90 R-Design";4002.115966796875;4252.35400390625
"2010 Volvo XC60 T6 R-Design";3948.139404296875;4133.150390625
"2011 Volvo XC60 T6 R-Design";3940.176513671875;4131.4541015625
"2011 Volvo XC60 3.2 R-Design";4004.99169921875;4256.04736328125
"2010 Volvo V50 R-Design AT";4053.004638671875;4287.32958984375
"2011 Volvo V50 R-Design";4122.64013671875;4393.14013671875
"2012 Bentley Continental GT";3859.31982421875;4000.4755859375
"2010 Bentley Continental GT";3978.671142578125;3937.36376953125
"2010 Bentley Continental GT Speed";3967.01953125;3947.7431640625
"2010 Ford Focus Coupe SE";4227.677734375;4354.02099609375
"2010 Ford Focus Coupe SE AT";4303.416015625;4262.52587890625
"2010 Ford Focus Coupe SES";4232.8466796875;4347.7587890625
"2010 Ford Focus Coupe SES AT";4301.22705078125;4267.00927734375
"2011 Bentley Continental GTC Speed";3970.675537109375;3942.8369140625
"2010 Bentley Continental GTC Speed";3968.796142578125;3951.9853515625
"2010 Bentley Continental GTC";3982.75732421875;3936.75048828125
"2010 Bentley Azure T";4154.474609375;3899.6201171875
"2011 Toyota Corolla";4170.8330078125;4466.2294921875
